tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners,Type 
Serie A,Flamengo,2,0,Chapecoense,8,3,60,49,15,9,1:00:00,9/9/2018,2,-2,WON,LOST,11,National 
Serie A,Sao Paulo,1,0,EC Bahia,11,4,83,76,12,9,23:00:00,9/8/2018,1,-1,WON,LOST,15,National 
Serie A,Sport Recife,0,0,Cruzeiro,8,4,142,105,12,10,20:00:00,9/8/2018,0,0,DRAW,DRAW,12,National 
Serie A,America MG,2,1,Vasco Da Gama RJ,4,5,94,138,12,8,0:00:00,9/7/2018,1,-1,WON,LOST,9,National 
Serie A,Fluminense,0,0,Vitoria,9,5,51,33,7,2,23:00:00,9/6/2018,0,0,DRAW,DRAW,14,National 
Serie A,Santos,0,0,Gremio,5,1,151,121,7,6,23:00:00,9/6/2018,0,0,DRAW,DRAW,6,National 
Serie A,Atletico Mineiro,1,0,Sao Paulo,2,9,102,141,6,11,1:45:00,9/6/2018,1,-1,WON,LOST,11,National 
Serie A,Internacional,2,1,Flamengo,4,3,62,69,7,14,1:45:00,9/6/2018,1,-1,WON,LOST,7,National 
Serie A,Parana,1,1,Chapecoense,11,3,86,143,16,11,1:00:00,9/6/2018,0,0,DRAW,DRAW,14,National 
Serie A,Palmeiras,2,0,Atletico Paranaense,6,6,108,104,9,7,1:00:00,9/6/2018,2,-2,WON,LOST,12,National 
Serie A,Ceara,2,1,Corinthians,7,4,86,128,16,12,0:00:00,9/6/2018,1,-1,WON,LOST,11,National 
Serie A,EC Bahia,2,0,Sport Recife,8,4,120,151,13,9,23:30:00,9/5/2018,2,-2,WON,LOST,12,National 
Serie A,Botafogo RJ,1,1,Cruzeiro,5,2,123,137,14,9,23:30:00,9/5/2018,0,0,DRAW,DRAW,7,National 
Serie A,Cruzeiro,0,0,Internacional,8,5,146,93,19,13,23:00:00,9/2/2018,0,0,DRAW,DRAW,13,National 
Serie A,Chapecoense,1,2,Palmeiras,3,5,118,96,11,12,23:00:00,9/2/2018,-1,1,LOST,WON,8,National 
Serie A,Atletico Paranaense,2,0,EC Bahia,4,2,102,102,26,8,20:00:00,9/2/2018,2,-2,WON,LOST,6,National 
Serie A,Sao Paulo,1,1,Fluminense,5,5,102,105,7,11,20:00:00,9/2/2018,0,0,DRAW,DRAW,10,National 
Serie A,Sport Recife,1,0,Parana,11,3,108,118,15,16,20:00:00,9/2/2018,1,-1,WON,LOST,14,National 
Serie A,Flamengo,0,1,Ceara,12,1,138,69,24,8,15:00:00,9/2/2018,-1,1,LOST,WON,13,National 
Serie A,Corinthians,1,1,Atletico Mineiro,6,3,61,48,6,8,1:00:00,9/2/2018,0,0,DRAW,DRAW,9,National 
Serie A,Vasco Da Gama RJ,0,3,Santos,8,3,143,115,16,9,23:00:00,9/1/2018,-3,3,LOST,WON,11,National 
Serie A,Vitoria,1,0,America MG,5,3,121,124,22,5,20:00:00,9/1/2018,1,-1,WON,LOST,8,National 
Serie A,Gremio,4,0,Botafogo RJ,5,6,125,101,18,10,20:00:00,9/1/2018,4,-4,WON,LOST,11,National 
Serie A,Atletico Paranaense,1,0,Vasco Da Gama RJ,8,5,115,109,10,16,23:30:00,8/29/2018,1,-1,WON,LOST,13,National 
Serie A,Ceara,0,2,EC Bahia,11,2,156,84,19,7,23:30:00,8/29/2018,-2,2,LOST,WON,13,National 
Serie A,Vasco Da Gama RJ,3,1,Chapecoense,6,4,,,,,23:00:00,8/26/2018,2,-2,WON,LOST,10,National 
Serie A,America MG,2,2,Flamengo,3,6,,,,,20:00:00,8/26/2018,0,0,DRAW,DRAW,9,National 
Serie A,Vitoria,1,0,Atletico Mineiro,6,4,,,,,20:00:00,8/26/2018,1,-1,WON,LOST,10,National 
Serie A,Internacional,0,0,Palmeiras,5,4,,,,,20:00:00,8/26/2018,0,0,DRAW,DRAW,9,National 
Serie A,Sao Paulo,1,0,Ceara,8,5,86,74,11,5,15:00:00,8/26/2018,1,-1,WON,LOST,13,National 
Serie A,Cruzeiro,2,1,Fluminense,6,5,131,123,12,7,1:00:00,8/26/2018,1,-1,WON,LOST,11,National 
Serie A,Botafogo RJ,2,0,Sport Recife,9,2,77,142,16,9,1:00:00,8/26/2018,2,-2,WON,LOST,11,National 
Serie A,Atletico Paranaense,2,1,Gremio,8,1,118,120,15,7,23:00:00,8/25/2018,1,-1,WON,LOST,9,National 
Serie A,Corinthians,1,0,Parana,8,7,131,92,17,12,23:00:00,8/25/2018,1,-1,WON,LOST,15,National 
Serie A,Santos,2,0,EC Bahia,6,4,90,127,6,7,20:00:00,8/25/2018,2,-2,WON,LOST,10,National 
Serie A,Atletico Mineiro,0,0,Vasco Da Gama RJ,12,1,177,71,18,10,0:00:00,8/24/2018,0,0,DRAW,DRAW,13,National 
Serie A,Flamengo,1,0,Vitoria,7,4,135,72,14,3,23:30:00,8/23/2018,1,-1,WON,LOST,11,National 
Serie A,Fluminense,1,0,Corinthians,8,3,123,99,15,4,1:45:00,8/23/2018,1,-1,WON,LOST,11,National 
Serie A,Gremio,1,1,Cruzeiro,6,2,195,85,10,7,1:45:00,8/23/2018,0,0,DRAW,DRAW,8,National 
Serie A,Palmeiras,2,0,Botafogo RJ,11,3,128,74,23,10,1:00:00,8/23/2018,2,-2,WON,LOST,14,National 
Serie A,Sport Recife,0,2,America MG,4,4,149,86,16,4,1:00:00,8/23/2018,-2,2,LOST,WON,8,National 
Serie A,Parana,1,1,Sao Paulo,4,9,81,120,13,15,23:30:00,8/22/2018,0,0,DRAW,DRAW,13,National 
Serie A,EC Bahia,0,1,Internacional,3,5,167,91,19,15,23:30:00,8/22/2018,-1,1,LOST,WON,8,National 
Serie A,Vasco Da Gama RJ,1,1,Ceara,4,6,55,48,15,12,0:00:00,8/21/2018,0,0,DRAW,DRAW,10,National 
Serie A,America MG,0,0,Fluminense,4,4,141,110,10,11,23:00:00,8/19/2018,0,0,DRAW,DRAW,8,National 
Serie A,Sao Paulo,2,0,Chapecoense,2,6,98,142,6,9,23:00:00,8/19/2018,2,-2,WON,LOST,8,National 
Serie A,Cruzeiro,1,1,EC Bahia,3,5,122,119,11,9,20:00:00,8/19/2018,0,0,DRAW,DRAW,8,National 
Serie A,Vitoria,0,3,Palmeiras,3,3,121,107,9,25,20:00:00,8/19/2018,-3,3,LOST,WON,6,National 
Serie A,Botafogo RJ,0,3,Atletico Mineiro,4,3,131,87,13,19,20:00:00,8/19/2018,-3,3,LOST,WON,7,National 
Serie A,Internacional,1,0,Parana,15,3,126,76,17,9,15:00:00,8/19/2018,1,-1,WON,LOST,18,National 
Serie A,Atletico Paranaense,3,0,Flamengo,5,5,73,123,13,15,15:00:00,8/19/2018,3,-3,WON,LOST,10,National 
Serie A,Corinthians,0,1,Gremio,5,7,159,130,10,12,23:00:00,8/18/2018,-1,1,LOST,WON,12,National 
Serie A,Santos,3,0,Sport Recife,4,4,94,124,11,12,20:00:00,8/18/2018,3,-3,WON,LOST,8,National 
Serie A,Fluminense,0,3,Internacional,7,7,120,91,14,8,0:00:00,8/14/2018,-3,3,LOST,WON,14,National 
Serie A,Palmeiras,1,0,Vasco Da Gama RJ,5,3,,,,,23:00:00,8/12/2018,1,-1,WON,LOST,8,National 
Serie A,Gremio,4,0,Vitoria,1,1,,,,,23:00:00,8/12/2018,4,-4,WON,LOST,2,National 
Serie A,Flamengo,1,0,Cruzeiro,5,2,,,,,20:00:00,8/12/2018,1,-1,WON,LOST,7,National 
Serie A,Chapecoense,2,1,Corinthians,7,5,,,,,20:00:00,8/12/2018,1,-1,WON,LOST,12,National 
Serie A,Sport Recife,1,3,Sao Paulo,2,3,,,,,20:00:00,8/12/2018,-2,2,LOST,WON,5,National 
Serie A,Atletico Mineiro,3,1,Santos,3,4,85,69,11,7,15:00:00,8/12/2018,2,-2,WON,LOST,7,National 
Serie A,Parana,1,1,Botafogo RJ,4,4,80,73,7,14,15:00:00,8/12/2018,0,0,DRAW,DRAW,8,National 
Serie A,EC Bahia,1,0,America MG,9,2,134,109,19,5,23:00:00,8/11/2018,1,-1,WON,LOST,11,National 
Serie A,Ceara,0,0,Atletico Paranaense,3,9,114,88,14,16,20:00:00,8/11/2018,0,0,DRAW,DRAW,12,National 
Serie A,Ceara,1,1,Santos,8,3,118,121,21,7,23:30:00,8/8/2018,0,0,DRAW,DRAW,11,National 
Serie A,Atletico Mineiro,0,1,Internacional,6,2,140,95,11,9,0:00:00,8/7/2018,-1,1,LOST,WON,8,National 
Serie A,Fluminense,1,1,EC Bahia,6,8,95,128,11,11,23:00:00,8/5/2018,0,0,DRAW,DRAW,14,National 
Serie A,Sport Recife,1,1,Chapecoense,8,5,151,110,21,8,23:00:00,8/5/2018,0,0,DRAW,DRAW,13,National 
Serie A,Parana,0,1,Ceara,13,2,188,100,20,5,20:00:00,8/5/2018,-1,1,LOST,WON,15,National 
Serie A,America MG,0,0,Palmeiras,2,9,106,113,8,13,20:00:00,8/5/2018,0,0,DRAW,DRAW,11,National 
Serie A,Vitoria,1,1,Cruzeiro,8,8,124,98,15,12,20:00:00,8/5/2018,0,0,DRAW,DRAW,16,National 
Serie A,Sao Paulo,2,1,Vasco Da Gama RJ,5,2,102,141,11,6,20:00:00,8/5/2018,1,-1,WON,LOST,7,National 
Serie A,Corinthians,0,0,Atletico Paranaense,2,9,97,84,11,14,1:00:00,8/5/2018,0,0,DRAW,DRAW,11,National 
Serie A,Gremio,2,0,Flamengo,3,1,89,108,10,8,23:00:00,8/4/2018,2,-2,WON,LOST,4,National 
Serie A,Botafogo RJ,0,0,Santos,5,2,102,121,16,8,20:00:00,8/4/2018,0,0,DRAW,DRAW,7,National 
Serie A,EC Bahia,2,2,Atletico Mineiro,6,3,173,86,21,5,0:00:00,7/31/2018,0,0,DRAW,DRAW,9,National 
Serie A,Chapecoense,1,1,Gremio,10,3,118,109,15,8,23:00:00,7/29/2018,0,0,DRAW,DRAW,13,National 
Serie A,Santos,0,1,America MG,14,2,165,63,28,2,23:00:00,7/29/2018,-1,1,LOST,WON,16,National 
Serie A,Cruzeiro,0,2,Sao Paulo,4,2,137,118,12,8,20:00:00,7/29/2018,-2,2,LOST,WON,6,National 
Serie A,Atletico Paranaense,4,0,Vitoria,6,1,103,88,11,7,20:00:00,7/29/2018,4,-4,WON,LOST,7,National 
Serie A,Flamengo,4,1,Sport Recife,8,2,136,95,21,8,20:00:00,7/29/2018,3,-3,WON,LOST,10,National 
Serie A,Internacional,3,0,Botafogo RJ,5,4,111,121,16,9,20:00:00,7/29/2018,3,-3,WON,LOST,9,National 
Serie A,Vasco Da Gama RJ,1,4,Corinthians,5,2,62,55,10,9,15:00:00,7/29/2018,-3,3,LOST,WON,7,National 
Serie A,Palmeiras,3,0,Parana,8,4,52,37,19,5,15:00:00,7/29/2018,3,-3,WON,LOST,12,National 
Serie A,Ceara,1,0,Fluminense,9,3,59,58,13,9,20:00:00,7/28/2018,1,-1,WON,LOST,12,National 
Serie A,America MG,2,1,Internacional,3,11,48,61,6,13,0:00:00,7/27/2018,1,-1,WON,LOST,14,National 
Serie A,Vitoria,1,0,Sport Recife,5,7,42,40,15,11,23:30:00,7/26/2018,1,-1,WON,LOST,12,National 
Serie A,Botafogo RJ,1,0,Chapecoense,6,8,60,58,11,9,23:30:00,7/26/2018,1,-1,WON,LOST,14,National 
Serie A,Gremio,2,1,Sao Paulo,9,3,61,42,11,6,23:30:00,7/26/2018,1,-1,WON,LOST,12,National 
Serie A,Santos,1,1,Flamengo,10,8,61,55,11,14,1:45:00,7/26/2018,0,0,DRAW,DRAW,18,National 
Serie A,Corinthians,2,0,Cruzeiro,3,4,74,88,10,12,1:45:00,7/26/2018,2,-2,WON,LOST,7,National 
Serie A,Atletico Mineiro,2,0,Parana,5,7,46,46,6,17,1:00:00,7/26/2018,2,-2,WON,LOST,12,National 
Serie A,Fluminense,1,0,Palmeiras,2,3,52,55,7,8,23:30:00,7/25/2018,1,-1,WON,LOST,5,National 
Serie A,Internacional,1,0,Ceara,4,0,170,110,9,9,0:00:00,7/24/2018,1,-1,WON,LOST,4,National 
Serie A,Cruzeiro,2,1,Atletico Paranaense,9,3,141,108,17,7,23:00:00,7/22/2018,1,-1,WON,LOST,12,National 
Serie A,Chapecoense,0,0,Santos,15,3,110,87,13,12,23:00:00,7/22/2018,0,0,DRAW,DRAW,18,National 
Serie A,Parana,1,0,America MG,3,3,110,137,13,10,20:00:00,7/22/2018,1,-1,WON,LOST,6,National 
Serie A,EC Bahia,4,1,Vitoria,5,7,117,109,13,7,20:00:00,7/22/2018,3,-3,WON,LOST,12,National 
Serie A,Vasco Da Gama RJ,1,0,Gremio,8,10,79,139,6,17,20:00:00,7/22/2018,1,-1,WON,LOST,18,National 
Serie A,Sport Recife,1,2,Fluminense,11,4,128,78,16,10,20:00:00,7/22/2018,-1,1,LOST,WON,15,National 
